wals code	name	value	description	latitude	longitude	genus	family	area
wra	Warao	2	Core cases only	9.33333333333	-61.6666666667	Warao	Warao	Morphology
wrd	Wardaman	4	No syncretism	-15.5	131.0	Yangmanic	Yangmanic	Morphology
war	Wari'	1	No case marking	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Morphology
wic	Wichita	1	No case marking	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Morphology
wch	Wichí	1	No case marking	-22.5	-62.5833333333	Matacoan	Matacoan	Morphology
yag	Yagua	1	No case marking	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Morphology
yaq	Yaqui	2	Core cases only	27.5	-110.25	Cahita	Uto-Aztecan	Morphology
yid	Yidiny	2	Core cases only	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Morphology
yim	Yimas	1	No case marking	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Morphology
yor	Yoruba	4	No syncretism	8.0	4.33333333333	Defoid	Niger-Congo	Morphology
yuc	Yuchi	1	No case marking	35.75	-86.75	Yuchi	Yuchi	Morphology
yko	Yukaghir (Kolyma)	2	Core cases only	65.75	150.833333333	Yukaghir	Yukaghir	Morphology
ypk	Yup'ik (Central)	2	Core cases only	59.5	-160.0	Eskimo	Eskimo-Aleut	Morphology
yur	Yurok	2	Core cases only	41.3333333333	-124.0	Yurok	Algic	Morphology
zqc	Zoque (Copainalá)	4	No syncretism	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Morphology
zul	Zulu	1	No case marking	-30.0	30.0	Bantu	Niger-Congo	Morphology
